1_hanzi,2_pinyin,3_meaningList,4_frequency,5_hsk_level,6_traditional
发作,fāzuò,"break out, flare up, explode, have fit of anger, get_into, have a fit of anger, show effect",531,7-9,發作
阀门,fá mén,valve (mechanical),61,7-9,閥門
发型,fà xíng,"hairstyle, coiffure, hairdo",911,7-9,髮型
帆,fān,"to gallop, Taiwan pr. [fan2], variant of 帆[fan1]",109,7-9,颿
帆船,fān chuán,sailboat,93,7-9,帆船
翻番,fān fān,"to double, to increase by a certain number of times",21,7-9,翻番
翻来覆去,fān lái fù qù,"to toss and turn (sleeplessly), again and again",31,7-9,翻來覆去
翻天覆地,fān tiān fù dì,"sky and the earth turning upside down (idiom), fig. complete confusion, everything turned on its head",43,7-9,翻天覆地
凡,fán,conj.: whatever,186,7-9,凡
烦闷,fán mèn,"moody, gloomy",14,7-9,煩悶
烦恼,fánnǎo,vexation,523,7-9,煩惱
烦躁,fán zào,"jittery, twitchy, fidgety",113,7-9,煩躁
繁华,fánhuá,"flourishing, bustling, busy",32,7-9,繁華
繁忙,fánmáng,busy,103,7-9,繁忙
繁体字,fán tǐ zì,traditional Chinese character,16829,7-9,繁體字
繁重,fán zhòng,"heavy, burdensome, heavy-duty, arduous, onerous",31,7-9,繁重
反驳,fǎnbó,"refute, retort, negate",143,7-9,反駁
反差,fǎn chā,"contrast, discrepancy",6,7-9,反差
反常,fǎn cháng,"unusual, abnormal",196,7-9,反常
反倒,fǎndào,"conj.: on the contrary, instead",45,7-9,反倒
反感,fǎn gǎn,"to be disgusted with, to dislike, bad reaction, antipathy",193,7-9,反感
反过来,fǎn guo lái,"conversely, in reverse order, in an opposite direction",105,7-9,反過來
反击,fǎn jī,"to strike back, to beat back, to counterattack",343,7-9,反擊
反馈,fǎn kuì,"to send back information, feedback",123,7-9,反饋
反面,fǎn miàn,"reverse side, backside, the other side (of a problem etc), negative, bad",91,7-9,反面
反思,fǎn sī,"to think back over sth, to review, to revisit, to rethink, reflection, reassessment",47,7-9,反思
反弹,fǎntán,rebound,46,7-9,反彈
反省,fǎnxǐng,"introspect, self-questioning",123,7-9,反省
返还,fǎn huán,"restitution, return of something to its original owner, remittance",23,7-9,返還
犯愁,fàn choú,"to worry, to be anxious",7,7-9,犯愁
饭碗,fàn wǎn,"rice bowl, fig. livelihood, job, way of making a living",208,7-9,飯碗
泛滥,fàn làn,"to be in flood, to overflow (the banks), to inundate, to spread unchecked",55,7-9,泛濫
范畴,fànchóu,category,49,7-9,範疇
贩卖,fànmài,"peddle, sell",246,7-9,販賣
方方面面,fāng fāng miàn miàn,"all sides, all aspects, multi-faceted",29,7-9,方方面面
方向盘,fāng xiàng pán,steering wheel,157,7-9,方向盤
方言,fāng yán,"the first Chinese dialect dictionary, edited by Yang Xiong 揚雄|扬雄[Yang2 Xiong2] in 1st century, containing over 9000 characters, topolect, dialect",55,7-9,方言
防盗,fáng dào,"to guard against theft, anti-theft",41,7-9,防盜
防盗门,fáng dào mén,entrance door (for apartment),7,7-9,防盜門
防护,fáng hù,"to defend, to protect",260,7-9,防護
防火墙,fáng huǒ qiáng,"firewall, CL:堵[du3]",135,7-9,防火牆
防卫,fángwèi,defend,207,7-9,防衛
防汛,fáng xùn,"flood control, anti-flood (precautions)",0,7-9,防汛
防疫,fáng yì,"disease prevention, protection against epidemic",4,7-9,防疫
防御,fáng yù,"defense, to defend",381,7-9,防禦
妨碍,fángài,"preclude, clog, set_back, prevent, trammel, arrest, counteract, set back, impede, foul, hamper, discourage, thwart, obstruction, impediment, stymie, hinder, deter, debar, halter, intercept, interfere, retard, jam, detain, spoke, hobble, resist, balk, countercheck, stymy, blockade, stonewall, stop, beset, embarrass, hamstring, forbid, kibosh, handicap, block, prohibit, snag, fox, cramp, encumb",508,7-9,妨礙
妨害,fánghài,"traverse, impair, bar, cumber, be harmful to, trammel, encumber, sabotage, molest, obstruct, blanket, impairment, disturb, jeopardize, annoy, put in jeopardy",19,7-9,妨害
房地产,fángdìchǎn,"blockbuster, real estate, realty, real_estate, real property, property",288,7-9,房地產
仿,fǎng,seemingly,93,7-9,彷
仿制,fǎng zhì,"to copy, to imitate, to make by imitating a model",25,7-9,仿製
访谈,fǎngtán,interview,141,7-9,訪談
纺织,fǎngzhī,"spinning and weaving, textile",23,7-9,紡織
放过,fàngguò,"let off, let slip, forgive, let off/slip, slip",211,7-9,放過
放水,fàng shuǐ,"to turn on the water, to let water out, to throw a game (sports)",51,7-9,放水
放肆,fàng sì,"wanton, unbridled, presumptuous, impudent",52,7-9,放肆
放映,fàng yìng,"to show (a movie), to screen",104,7-9,放映
放置,fàngzhì,"dispose, feed, set, locate, go, plant, pose, sit, lay, stick, shove, repose, bestow, sock, lay aside, perch, put, position, deposit, depose, get, lay up, mount, place, localize",124,7-9,放置
放纵,fàng zòng,"to indulge, to pamper, to connive at, permissive, indulgent, self-indulgent, unrestrained, undisciplined, uncultured, boorish",153,7-9,放縱
飞速,fēi sù,"flying speed, rapid (growth)",47,7-9,飛速
飞往,fēiwǎng,Go to,279,7-9,飛往
飞翔,fēi xiáng,"to circle in the air, to soar",214,7-9,飛翔
飞跃,fēi yuè,to leap,84,7-9,飛躍
非,fēi,not,1948,7-9,非
非得,fēi děi,"(followed by a verb phrase, then – optionally – 不可, or 不行 etc) must",544,7-9,非得
非法,fēifǎ,"illegal, wrongfully, wrongful, unlawful, illegitimately, illicitly, unlawfully, lawlessly, nefariously, nefarious, illegally, illegitimate, lawless, illicit",1034,7-9,非法
非凡,fēi fán,"out of the ordinary, unusually (good, talented etc)",314,7-9,非凡
绯闻,fēi wén,sex scandal,155,7-9,緋聞
肥料,féi liào,"fertilizer, manure",84,7-9,肥料
肥胖,féipàng,"fat, corpulent",146,7-9,肥胖
肥沃,féi wò,fertile,18,7-9,肥沃
肥皂,féi zào,"soap, CL:塊|块[kuai4],條|条[tiao2]",364,7-9,肥皂
诽谤,fěi bàng,"to slander, to libel",150,7-9,誹謗
废,fèi,"variant of 廢|废[fei4], disabled",336,7-9,癈
废除,fèichú,"abolish, abrogate, repeal",115,7-9,廢除
废话,fèi huà,"nonsense, rubbish, superfluous words, You don't say!, No kidding! (gently sarcastic)",1300,7-9,廢話
废品,fèi pǐn,"production rejects, seconds, scrap, discarded material",68,7-9,廢品
废寝忘食,fèi qǐn wàng shí,"to neglect sleep and forget about food (idiom), to skip one's sleep and meals, to be completely wrapped up in one's work",8,7-9,廢寢忘食
废物,fèiwù,"crap, plug, wastage, dreg, crock, garbage, weed, riffraff, obsolete, ejecta, trashery, rubbish, trash, cur, chaff, offal, food waste, recrement, rejectamenta, waste matter, lumber, sullage, write-off, waste material, sordes, dud, good-for-nothing, black sheep, culch, ruck, wastefulness, slag, scapegrace, dissipation, cultch, raffle, flotsam, dreck, off-scum, no-account, waste, offscouring",722,7-9,廢物
废墟,fèi xū,ruins,172,7-9,廢墟
沸沸扬扬,fèi fèi yáng yáng,"bubbling and gurgling, hubbubing, abuzz",17,7-9,沸沸揚揚
沸腾,fèi téng,"(of a liquid) to boil, (of sentiments etc) to boil over, to flare up, to be impassioned",130,7-9,沸騰
费劲,fèi jìn,"to require effort, strenuous",139,7-9,費勁
分辨,fēnbiàn,"distinguish, differentiate",241,7-9,分辨
分寸,fēn cun,"propriety, appropriate behavior, proper speech or action, within the norms",23,7-9,分寸
分担,fēn dān,"to share (a burden, a cost, a responsibility)",71,7-9,分擔
分割,fēngē,"cut apart, break up, partition",38,7-9,分割
分红,fēn hóng,"dividend, to award a bonus",46,7-9,分紅
分化,fēnhuà,disintegrate,32,7-9,分化
分泌,fēn mì,"to secrete, secretion",112,7-9,分泌
分明,fēn míng,"clear, distinct, evidently, clearly",94,7-9,分明
分歧,fēn qí,"divergent, difference (of opinion, position), disagreement, bifurcation (math.)",198,7-9,分歧
分赃,fēn zāng,"to share the booty, to divide ill-gotten gains",15,7-9,分贓
分支,fēn zhī,"branch (of company, river etc), to branch, to diverge, to ramify, to subdivide",67,7-9,分支
芬芳,fēn fāng,"perfume, fragrant",33,7-9,芬芳
吩咐,fēn fù,"to tell, to instruct, to command",312,7-9,吩咐
氛围,fēn wéi,"ambience, atmosphere",95,7-9,氛圍
坟,fén,"grave, tomb, CL:座[zuo4], embankment, mound, ancient book",136,7-9,墳
坟墓,fén mù,"grave, tomb",418,7-9,墳墓
焚烧,fén shāo,"to burn, to set on fire",73,7-9,焚燒
粉,fěn,"powder, cosmetic face powder, food prepared from starch, noodles or pasta made from any kind of flour, whitewash, white, pink",537,7-9,粉
粉丝,fěn sī,"bean vermicelli, mung bean starch noodles, Chinese vermicelli, cellophane noodles, CL:把[ba3], fan (loanword), enthusiast for sb or sth",994,7-9,粉絲
粉碎,fěn suì,"to crush, to smash, to shatter",175,7-9,粉碎
分量,"fēn liàng, fèn liang","(vector) component, quantity, weight, measure",83,7-9,分量
分外,fèn wài,"exceptionally, not one's responsibility or job",8,7-9,分外
份额,fèn é,"share, portion",36,7-9,份額
奋力,fèn lì,"to do everything one can, to spare no effort, to strive",124,7-9,奮力
奋勇,fèn yǒng,"dauntless, to summon up courage and determination, using extreme force of will",25,7-9,奮勇
粪,fèn,"manure, dung",154,7-9,糞
粪便,fèn biàn,"excrement, feces, night soil",129,7-9,糞便
丰富多彩,fēng fù duō cǎi,richly colorful,37,7-9,豐富多彩
丰厚,fēng hoù,"generous, ample",126,7-9,豐厚
丰满,fēng mǎn,"Fengman district of Jilin city 吉林市, Jilin province, ample, well developed, fully rounded",162,7-9,豐滿
丰盛,fēng shèng,"rich, sumptuous",114,7-9,豐盛
丰硕,fēng shuò,"plentiful, substantial, rich (in resources etc)",2,7-9,豐碩
风波,fēngbō,"crisis, disturbance",43,7-9,風波
风采,fēngcǎi,"carriage, graceful bearing, colour, mien, elegant demeanour, literary grace, elegant demeanor",66,7-9,風采
风餐露宿,fēngcānlùsù,Wild meal,7,7-9,風餐露宿
风范,fēng fàn,"air, manner, model, paragon, demeanor",61,7-9,風範
风风雨雨,fēngfēngyǔyǔ,Wind and rain,21,7-9,風風雨雨
风和日丽,fēng hé rì lì,"moderate wind, beautiful sun (idiom), fine sunny weather, esp. in springtime",9,7-9,風和日麗
风浪,fēng làng,"wind and waves, stormy sea",35,7-9,風浪
风力,fēng lì,"wind force, wind power",36,7-9,風力
风流,fēng liú,"distinguished and accomplished, outstanding, talented in letters and unconventional in lifestyle, romantic, dissolute, loose",153,7-9,風流
风貌,fēngmào,"view, scene, elegant appearance and bearing, appearance, style and features, style and feature",10,7-9,風貌
风气,fēngqì,"mores, ethos, order_of_the_day, climate, established practice, genius, genius loci, atmosphere, tone, general mood, common practice, fashion",17,7-9,風氣
风情,fēngqíng,"demeanour, flavor, information about wind, local customs, bearing, feelings, flirtatious expressions, amorous feelings",115,7-9,風情
风趣,fēng qù,"charm, humor, wit, humorous, witty",334,7-9,風趣
风沙,fēng shā,"sand blown by wind, sandstorm",4,7-9,風沙
风尚,fēng shàng,"current custom, current way of doing things",171,7-9,風尚
风水,fēng shuǐ,"feng shui, geomancy",46,7-9,風水
风味,fēngwèi,"race, gust, special flavour, savor, flavor, savour, local color, relish, sapor, spice, tasting, local colour, smack, gusto, snack, savoriness, special flavor, flavorsomeness, zest, taste",102,7-9,風味
风雨,fēng yǔ,"wind and rain, the elements, trials and hardships",49,7-9,風雨
风云,fēng yún,"weather, unstable situation",118,7-9,風雲
风筝,fēng zhēng,kite,105,7-9,風箏
封顶,fēng dǐng,"to put a roof (on a building), to cap the roof (finishing a building project), fig. to put a ceiling (on spending, prize, ambition etc), to top off, fig. to reach the highest point (of growth, profit, interest rates), to stop growing (of plant bud or branch)",13,7-9,封頂
封建,fēng jiàn,"system of enfeoffment, feudalism, feudal, feudalistic",11,7-9,封建
封面,fēngmiàn,"lid, book binding, title page of thread-bound book, front cover, front and back cover of book, back, cover, binding, title page",697,7-9,封面
封锁,fēng suǒ,"to blockade, to seal off",662,7-9,封鎖
疯子,fēng zi,"madman, lunatic",2143,7-9,瘋子
峰回路转,fēng huí lù zhuǎn,"the mountain road twists around each new peak (idiom), (of a mountain road) twisting and turning, fig. an opportunity has come unexpectedly, things have taken a new turn",14,7-9,峰回路轉
蜂蜜,fēng mì,honey,208,7-9,蜂蜜
逢,féng,"meet, come upon",89,7-9,逢
缝,"féng, fèng","to sew, to stitch, seam, crack, narrow slit, CL:道[dao4]",670,7-9,縫
缝合,féng hé,"to sew together, suture (in surgery), to sew up (a wound)",195,7-9,縫合
讽刺,fèngcì,"satirize, mock",728,7-9,諷刺
凤凰,fèng huáng,"Fenghuang county in Xiangxi Tujia and Miao autonomous prefecture 湘西土家族苗族自治州[Xiang1 xi1 Tu3 jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1], phoenix",303,7-9,鳳凰
否决,foǔ jué,"to veto, to overrule",192,7-9,否決
孵化,fū huà,"breeding, to incubate, innovation (esp. in commerce and marketing)",64,7-9,孵化
敷,fū,"to spread, to lay out, to apply (powder, ointment etc), sufficient (to cover), enough",132,7-9,敷
扶持,fú chí,"to help, to assist",51,7-9,扶持
服饰,fúshì,"neckline, attire, furnishings, costume, dress, trappings, finery, rig-out, apparel, dress and personal adornment",146,7-9,服飾
服务器,fú wù qì,"server (computer), CL:臺|台[tai2]",283,7-9,服務器
服用,fúyòng,"take, use, take (medicine)",431,7-9,服用
俘获,fú huò,"to capture (enemy property or personnel), capture (physics: absorption of subatomic particle by an atom or nucleus)",78,7-9,俘獲
俘虏,fú lǔ,captive,201,7-9,俘虜
浮力,fú lì,buoyancy,15,7-9,浮力
浮现,fúxiàn,"appear before one's eyes, float, suggest, come up, rise up, surface, ray, rise, appear, emerge",100,7-9,浮現
浮躁,fú zào,"fickle and impatient, restless, giddy, scatterbrained",6,7-9,浮躁
辐射,fúshè,"radiancy, Geigers, radiation, radiant",372,7-9,輻射
福气,fú qi,"good fortune, a blessing",67,7-9,福氣
抚摸,fǔ mō,"to gently caress and stroke, to pet, to fondle",181,7-9,撫摸
抚恤,fǔ xù,(of an organization that has a duty of care) to give financial support to relatives of sb who has died or suffered serious injury,2,7-9,撫卹
抚养,fǔ yǎng,"to foster, to bring up, to raise",545,7-9,撫養
抚养费,fǔ yǎng fèi,child support payment (after a divorce),24,7-9,撫養費
斧子,fǔ zi,"axe, hatchet, CL:把[ba3]",98,7-9,斧子
俯首,fǔ shoǔ,to bend one's head,11,7-9,俯首
辅导,fǔdǎo,"coach, tutor",229,7-9,輔導
腐败,fǔbài,"rotten, putrid, decayed, corrupt",242,7-9,腐敗
腐化,fǔ huà,"to rot, to decay, to become corrupt",37,7-9,腐化
腐烂,fǔ làn,"to rot, to putrefy, (fig.) corrupt",283,7-9,腐爛
腐蚀,fǔ shí,"corrosion, to corrode (degrade chemically), to rot, corruption",112,7-9,腐蝕
腐朽,fǔ xiǔ,"rotten, decayed, decadent, degenerate",77,7-9,腐朽
付费,fùfèi,"fee, expense, pay",171,7-9,付費
付款,fùkuǎn,"ante_up, ante up, foot, pay out, pay up, pay, shell_out, cash, pay a sum of money, disburse",152,7-9,付款
负面,fùmiàn,"negative, negativeness, reverse (side), reverse",158,7-9,負面
负有,fù yoǔ,to be responsible for,73,7-9,負有
附,fù,"comply with, agree to, appose, attachment, enclose, get close to, enclosure, depend on, add, be near, rely on, attach",415,7-9,附
附带,fù dài,"supplementary, incidentally, in parentheses, by chance, in passing, additionally, secondary, subsidiary, to attach",63,7-9,附帶
附和,fù hè,"to agree, to go along with, to echo (what sb says)",16,7-9,附和
附加,fùjiā,"hang on, supervene, suffix, additional, affix, superimpose, inset, tack on, tack, attachment, tag on, append, add, subjoin, annex, engraft, attach",101,7-9,附加
附属,fùshǔ,"adjunct, belong, pertain, appertain, affiliated, be attached, attached, adjective, auxiliary, be affiliated, subsidiary",53,7-9,附屬
赴,fù,"repair, attendance, go, go to, come, seek, attend, betake",100,7-9,赴
复查,fù chá,"rechecking, re-inspection, reexamination",55,7-9,復查
复发,fù fā,"to recur (of a disease), to reappear, to relapse (into a former bad state)",83,7-9,復發
复合,"fù hé, fù hé","complex, compound, composite, hybrid",182,7-9,複合
复活,fù huó,resurrection,516,7-9,復活
复兴,fù xīng,"Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4], Hebei, Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4], north Taiwan, to revive, to rejuvenate",59,7-9,復興
复原,fù yuán,"to restore (sth) to (its) former condition, to recover from illness, recovery",200,7-9,復原
副作用,fùzuòyòng,side-effect,262,7-9,副作用
赋予,fùyǔ,"indue, endow, lend, girt, gift, endue, entrust, inspire, give, impart, confer, grant",320,7-9,賦予
富含,fùhán,Rich,25,7-9,富含
富豪,fù háo,rich and powerful person,61,7-9,富豪
富强,fù qiáng,rich and powerful,6,7-9,富強
富翁,fù wēng,"rich person, millionaire, billionaire",266,7-9,富翁
富裕,fùyū,"plentiful, abundant, rich",109,7-9,富裕
富足,fù zú,"rich, plentiful",20,7-9,富足
腹部,fù bù,"abdomen, belly, flank",216,7-9,腹部
腹泻,fù xiè,"diarrhea, to have the runs",52,7-9,腹瀉
覆盖,fù gài,to cover,217,7-9,覆蓋
该,gāi,"det.: this, that",34169,7-9,該
改版,gǎi bǎn,"to revise the current edition, revised edition",6,7-9,改版
改编,gǎibiān,"adapt, rearrange, revise",190,7-9,改編
改动,gǎi dòng,"to alter, to modify, to revise",119,7-9,改動
改革开放,gǎi gé kāi fàng,"to reform and open to the outside world, refers to Deng Xiaoping's policies from around 1980",620677,7-9,改革開放
改良,gǎiliáng,"improve, ameliorate",48,7-9,改良
改名,gǎi míng,to change one's name,58,7-9,改名
改日,gǎi rì,"another day, some other day",16,7-9,改日
改为,gǎiwéi,"change ... into, change to",12,7-9,改為
改邪归正,gǎi xié guī zhèng,"to mend one's ways (idiom), to turn over a new leaf",43,7-9,改邪歸正
钙,gài,"atomic number 20, calcium, Ca, calcic",87,7-9,鈣
盖子,gài zi,"cover, lid, shell",117,7-9,蓋子
概况,gài kuàng,"general situation, summary",5,7-9,概況
概率,gài lǜ,probability (math.),121,7-9,概率
概论,gài lùn,"outline, introduction, survey, general discussion",1,7-9,概論
干戈,gān gē,"weapons of war, arms",11,7-9,干戈
干旱,gān hàn,"drought, arid, dry",46,7-9,乾旱
干燥,gānzào,"dry, arid",115,7-9,乾燥
甘心,gānxīn,"be reconciled, be willing, pleased, resigned to, be content with, be reconciled to, be reconciled/resigned to, be resigned to, resign oneself to",56,7-9,甘心
肝脏,gān zàng,liver,323,7-9,肝臟
尴尬,gāngà,"awkward, embarrassed",1256,7-9,尷尬
赶赴,gǎn fù,"to hurry, to rush",13,7-9,趕赴
赶往,gǎn wǎng,to hurry to (somewhere),78,7-9,趕往
敢情,gǎn qing,"actually, as it turns out, indeed, of course",20,7-9,敢情
感,gǎn,"feel, sense, move, touch, be affected (by cold)",3098,7-9,感
感触,gǎnchù,"feel, texture, sentiment, thoughts and feelings, feeling, tactile property",54,7-9,感觸
感恩,gǎn ēn,to be grateful,160,7-9,感恩
感激,gǎnjī,feel grateful/indebted,2010,7-9,感激
感慨,gǎnkài,sigh with emotion,11,7-9,感慨
感染,gǎnrǎn,"infect, influence, affect",1216,7-9,感染
感染力,gǎn rǎn lì,"inspiration, infectious (enthusiasm)",56,7-9,感染力
感叹,gǎn tàn,"to sigh (with feeling), to lament",20,7-9,感嘆
感性,gǎnxìng,sensitive,139,7-9,感性
干部,gànbù,"organizer, staff, cadre",23,7-9,幹部
干事,gàn shi,"administrator, executive secretary",33,7-9,幹事
刚毅,gāng yì,"resolute, steadfast, stalwart",9,7-9,剛毅
纲领,gānglǐng,"summary, creed, programme, political program, political platform, guiding principle, digest, outline, program, platform",8,7-9,綱領
纲要,gāng yào,"outline, essential points",3,7-9,綱要
钢,gāng,steel,166,7-9,鋼
缸,gāng,"jar, vat, classifier for loads of laundry, CL:口[kou3]",74,7-9,缸
港,gǎng,Hong Kong,407,7-9,港
杠铃,gàng líng,barbell,11,7-9,槓鈴
高昂,gāoáng,"held high (head/etc.), high, elated, exalted",53,7-9,高昂
高傲,gāo ào,"arrogant, haughty, proud",94,7-9,高傲
高超,gāo chāo,"excellent, superlative",89,7-9,高超
高低,gāo dī,"height, altitude (aviation), pitch (music), ups and downs (success or failure), whether sth is right or wrong, comparative strength, weight, depth, stature, (spoken interjection) anyway, whatever, eventually, in the end",39,7-9,高低
高调,gāo diào,"high-sounding speech, bombast, high-profile",21,7-9,高調
高额,gāo é,"high quota, large amount",39,7-9,高額
高尔夫球,gāoěrfūqiú,golf ball,237,7-9,高爾夫球
高峰期,gāo fēng qī,"peak period, rush hour",31,7-9,高峰期
高贵,gāoguì,"noble, high",283,7-9,高貴
高空,gāokōng,"high altitude, upper air",112,7-9,高空
高龄,gāo líng,elderly,21,7-9,高齡
高明,gāomíng,"brilliant, wise",151,7-9,高明
高山,gāoshān,"jebel, high mountain, mountain, alp, mount, ben",68,7-9,高山
高效,gāo xiào,"efficient, highly effective",66,7-9,高效
高新技术,gāoxīnjìshù,High-tech,2,7-9,高新技術
高血压,gāoxiěyā,"high_blood_pressure, high blood pressure, hypertension",49,7-9,高血壓
高压,gāoyā,"high pressure, high voltage/tension, coercion, tyranny",85,7-9,高壓
高雅,gāo yǎ,"dainty, elegance, elegant",108,7-9,高雅
高涨,gāo zhǎng,"to surge up, to rise, (of tensions etc) to run high",89,7-9,高漲
搞鬼,gǎo guǐ,"to make mischief, to play tricks in secret",86,7-9,搞鬼
搞笑,gǎo xiào,"funny, hilarious",0,7-9,搞笑
告,gào,"accuse, go to law against",891,7-9,告
告辞,gào cí,"to say goodbye, to take one's leave",79,7-9,告辭
告诫,gào jiè,"to warn, to admonish",76,7-9,告誡
告示,gào shi,announcement,56,7-9,告示
告知,gàozhī,"acknowledge, expose, divulge, disclose, intimation, notify, impart, inform, communicate, apprize, notification, advise, give notice, assure, reveal, let on, tell, discover, acquaint, let out, send word, declare, instruct, apprise, break, give away, bring out",420,7-9,告知
告状,gào zhuàng,"to tell on sb, to complain (to a teacher, a superior etc), to bring a lawsuit",38,7-9,告狀
戈壁,Gē bì,Gobi (desert),2,7-9,戈壁
胳膊,gē bo,"arm, CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]",846,7-9,胳膊
鸽子,gē zi,"pigeon, dove, various birds of the family Columbidae",472,7-9,鴿子
搁,"gē, gé","to place, to put aside, to shelve, to bear, to stand, to endure",90,7-9,擱
搁浅,gē qiǎn,"to be stranded (of ship), to run aground, fig. to run into difficulties and stop",42,7-9,擱淺
搁置,gē zhì,"to shelve, to set aside",51,7-9,擱置
割,gē,"hack, cut, fissure, slit, crop, slice, mow, carbonado",877,7-9,割
歌剧,gējù,"revue, melodrama, opus, operatic, opera",248,7-9,歌劇
歌颂,gē sòng,"to sing the praises of, to extol, to eulogize",38,7-9,歌頌
歌舞,gē wǔ,singing and dancing,145,7-9,歌舞
歌咏,gē yǒng,singing,2,7-9,歌詠
革命,gémìng,revolt,355,7-9,革命
格,gé,"lattice, grid, squares",1776,7-9,格
格格不入,gé gé bù rù,"(idiom) inharmonious, incompatible",50,7-9,格格不入
格局,géjú,"pattern, setup, structure",19,7-9,格局
格式,géshì,"pattern, form, a style, a format, etiquette, format, style, the form of characters or letters",46,7-9,格式
隔阂,gé hé,"misunderstanding, estrangement, (language etc) barrier",52,7-9,隔閡
隔离,gélí,"keep apart, segregate, isolate",576,7-9,隔離
个案,gèàn,case (in law/etc.),26,7-9,個案
个头儿,gètóur,"size, height, stature",2957,7-9,個頭兒
各奔前程,gè bèn qián chéng,"each goes his own way (idiom), each person has his own life to lead",3,7-9,各奔前程
各式各样,gèshìgèyàng,"various, kinds, sundry, all sorts, assorted",59,7-9,各式各樣
根基,gēn jī,foundation,22,7-9,根基
根深蒂固,gēn shēn dì gù,deep-rooted (problem etc),19,7-9,根深蒂固
根源,gēnyuán,"rootage, parent, origin, spore, source, rootstock, germ, springhead, cradle, whence, paternity, spawn, mother, root, seed, fount, fountainhead",102,7-9,根源
根治,gēn zhì,"to bring under permanent control, to effect a radical cure",16,7-9,根治
跟不上,gēn bu shàng,not able to keep up with,88,7-9,跟不上
跟上,gēn shàng,"to catch up with, to keep pace with",12,7-9,跟上
跟踪,gēnzōng,track,2249,7-9,跟蹤
更改,gēnggǎi,"change, alter",141,7-9,更改
更衣室,gēng yī shì,"change room, dressing room, locker room, toilet",235,7-9,更衣室
耕地,gēng dì,"arable land, to plow land",13,7-9,耕地
耿直,gěng zhí,"honest, frank, candid",2,7-9,耿直
工地,gōng dì,construction site,180,7-9,工地
工会,gōnghuì,trade/labor union,194,7-9,工會
工科,gōng kē,engineering as an academic subject,4,7-9,工科
工商界,gōngshāngjiè,industrial and commercial circles,56235,7-9,工商界
工序,gōng xù,"working procedure, process",4,7-9,工序
工整,gōng zhěng,"fine work, carefully and neatly done",9,7-9,工整
工作量,gōng zuò liàng,"workload, volume of work",46,7-9,工作量
弓,gōng,"surname Gong, a bow (weapon), CL:張|张[zhang1], to bend, to arch (one's back etc)",125,7-9,弓
公安局,gōng ān jú,public security bureau (government office similar in function to a police station),4,7-9,公安局
公车,gōngchē,"bus, cars provided by an organization",447,7-9,公車
公道,"gōng dào, gōng dao","justice, fairness, public highway, fair, equitable",174,7-9,公道
公费,gōng fèi,at public expense,17,7-9,公費
公共场所,gōnggòngchǎngsuǒ,Public places,80,7-9,公共場所
公关,gōngguān,person in public relations,203,7-9,公關
公函,gōng hán,official letter,1,7-9,公函
公积金,gōng jī jīn,"official reserves, accumulated fund",313547,7-9,公積金
公开信,gōng kāi xìn,open letter,4,7-9,公開信
公款,gōng kuǎn,public money,80,7-9,公款
公立,gōnglì,"public, established and maintained by the government",150,7-9,公立
公墓,gōng mù,public cemetery,91,7-9,公墓
公仆,gōng pú,"public servant, CL:個|个[ge4],位[wei4]",28,7-9,公僕
公顷,gōngqīng,m.[standard],11,7-9,公頃
公然,gōng rán,"openly, publicly, undisguised",90,7-9,公然
公示,gōngshì,Publicity,0,7-9,公示
公事,gōng shì,"public affairs, official (matters, duties etc)",280,7-9,公事
公务,gōng wù,official business,139,7-9,公務
公益,gōngyì,public good/welfare,66,7-9,公益
公益性,gōngyìxìng,Public welfare,92248,7-9,公益性
公用,gōngyòng,be for public use,28,7-9,公用
公寓,gōngyū,"flats, apartment house, public housing",2706,7-9,公寓
公约,gōngyuē,"convention, pact, joint pledge",35,7-9,公約
公证,gōng zhèng,"notarization, notarized, acknowledgement",26,7-9,公證
公职,gōngzhí,public office/employment,23,7-9,公職
功,gōng,"meritorious service, exploit, achievement, result, effect, skill",247,7-9,功
功臣,gōng chén,minister who has given outstanding service,17,7-9,功臣
功底,gōng dǐ,"training in the basic skills, knowledge of the fundamentals",11,7-9,功底
功劳,gōng láo,"contribution, meritorious service, credit",240,7-9,功勞
功力,gōnglì,"effect, efficacy, craftsmanship, skill, capability, touch",28,7-9,功力
功率,gōng lǜ,"rate of work, power (output)",29,7-9,功率
功效,gōngxiào,"efficacy, effect",43,7-9,功效
攻,gōng,"assault, attack, censure, accuse",307,7-9,攻
攻读,gōng dú,"to major (in a field), to study a specialty to obtain a higher degree",15,7-9,攻讀
攻关,gōng guān,"to storm a strategic pass, fig. to tackle a key problem",1,7-9,攻關
供,gōng,"supply, feed, be for (the use/convenience of)",899,7-9,供
供不应求,gōng bù yìng qiú,supply does not meet demand,10,7-9,供不應求
供暖,gōngnuǎn,Heating,22,7-9,供暖
供求,gōng qiú,supply and demand (economics),7,7-9,供求
宫殿,gōngdiàn,"palatium, dome, alcazar, palace",201,7-9,宮殿
宫廷,gōngtíng,"royal, royal/imperial court, cupbearer, court, royal or imperial court, royal court, imperial court, palace",56,7-9,宮廷
